Title,Artist,Hash_tag,Price,URL,img,Type
쾌적한 해수욕장,칼 라르손 (Carl Larsson),#사실주의 #내츄럴 #힐링,"43,000 ",https://www.wart.co.kr/product/%EC%BE%8C%EC%A0%81%ED%95%9C-%ED%95%B4%EC%88%98%EC%9A%95%EC%9E%A5/13202/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/f9b2de43cdced1fd2240748a9bd539bd.jpg,Masterpiece
그레즈의 다리,칼 라르손 (Carl Larsson),#사실주의 #내츄럴 #여유,"43,000 ",https://www.wart.co.kr/product/%EA%B7%B8%EB%A0%88%EC%A6%88%EC%9D%98-%EB%8B%A4%EB%A6%AC/13201/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/7e74ce88de3089a2acf6d6f1b94085e8.jpg,Masterpiece
책을 읽고 있는 카린,칼 라르손 (Carl Larsson),#사실주의 #클래식 #여유,"43,000 ",https://www.wart.co.kr/product/%EC%B1%85%EC%9D%84-%EC%9D%BD%EA%B3%A0-%EC%9E%88%EB%8A%94-%EC%B9%B4%EB%A6%B0/13200/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/1cd74bcb02a6e57f87809ed25eb8950c.jpg,Masterpiece
책을 읽고 있는 안나 요한나,칼 라르손 (Carl Larsson),#사실주의 #클래식 #여유,"43,000 ",https://www.wart.co.kr/product/%EC%B1%85%EC%9D%84-%EC%9D%BD%EA%B3%A0-%EC%9E%88%EB%8A%94-%EC%95%88%EB%82%98-%EC%9A%94%ED%95%9C%EB%82%98/13199/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/ba333d652f5a5204b8545cb247fc8851.jpg,Masterpiece
집,칼 라르손 (Carl Larsson),#사실주의 #내츄럴 #편안,"43,000 ",https://www.wart.co.kr/product/%EC%A7%91/13198/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/277632e8d5cfc217386440966f7d0320.jpg,Masterpiece
지하실 옆에서,칼 라르손 (Carl Larsson),#사실주의 #내츄럴 #편안,"43,000 ",https://www.wart.co.kr/product/%EC%A7%80%ED%95%98%EC%8B%A4-%EC%98%86%EC%97%90%EC%84%9C/13197/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/eeba25fcc2f03d2d414fe173b4e3ada4.jpg,Masterpiece
젠틀맨에게 인사하기,칼 라르손 (Carl Larsson),#사실주의 #내츄럴 #힐링,"43,000 ",https://www.wart.co.kr/product/%EC%A0%A0%ED%8B%80%EB%A7%A8%EC%97%90%EA%B2%8C-%EC%9D%B8%EC%82%AC%ED%95%98%EA%B8%B0/13196/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/1aef437cb1a2594b01104ebe964a4704.jpg,Masterpiece
작업장,칼 라르손 (Carl Larsson),#사실주의 #클래식 #편안,"43,000 ",https://www.wart.co.kr/product/%EC%9E%91%EC%97%85%EC%9E%A5/13195/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/95d65c89d46b66c074a50c366190cbbb.jpg,Masterpiece
작업실의 브리타,칼 라르손 (Carl Larsson),#사실주의 #클래식 #여유,"43,000 ",https://www.wart.co.kr/product/%EC%9E%91%EC%97%85%EC%8B%A4%EC%9D%98-%EB%B8%8C%EB%A6%AC%ED%83%80/13194/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/f786c4ef66ce8e45191b7acf9f0b65cc.jpg,Masterpiece
작업실2,칼 라르손 (Carl Larsson),#사실주의 #클래식 #여유,"43,000 ",https://www.wart.co.kr/product/%EC%9E%91%EC%97%85%EC%8B%A42/13193/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/b75834578149a27294d5587731dbf066.jpg,Masterpiece
작업실,칼 라르손 (Carl Larsson),#사실주의 #클래식 #편안,"43,000 ",https://www.wart.co.kr/product/%EC%9E%91%EC%97%85%EC%8B%A4/13192/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/cb8b7e4581d4a4bc741ecb7fc154664d.jpg,Masterpiece
자화상-새로운 스튜디오,칼 라르손 (Carl Larsson),#사실주의 #클래식 #여유,"43,000 ",https://www.wart.co.kr/product/%EC%9E%90%ED%99%94%EC%83%81-%EC%83%88%EB%A1%9C%EC%9A%B4-%EC%8A%A4%ED%8A%9C%EB%94%94%EC%98%A4/13191/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/d542f574fba70408d2d81fab43f7b010.jpg,Masterpiece
자작나무와 발가벗은 소년,칼 라르손 (Carl Larsson),#사실주의 #내츄럴 #힐링,"43,000 ",https://www.wart.co.kr/product/%EC%9E%90%EC%9E%91%EB%82%98%EB%AC%B4%EC%99%80-%EB%B0%9C%EA%B0%80%EB%B2%97%EC%9D%80-%EC%86%8C%EB%85%84/13190/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/46cab6e2a14eac352fa819032f14de21.jpg,Masterpiece
자작나무에 기댄 리스베스,칼 라르손 (Carl Larsson),#사실주의 #클래식 #힐링,"43,000 ",https://www.wart.co.kr/product/%EC%9E%90%EC%9E%91%EB%82%98%EB%AC%B4%EC%97%90-%EA%B8%B0%EB%8C%84-%EB%A6%AC%EC%8A%A4%EB%B2%A0%EC%8A%A4/13189/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/fac55a82f9ae36b57450e61f4d51faa2.jpg,Masterpiece
일요일 휴식,칼 라르손 (Carl Larsson),#사실주의 #클래식 #힐링,"43,000 ",https://www.wart.co.kr/product/%EC%9D%BC%EC%9A%94%EC%9D%BC-%ED%9C%B4%EC%8B%9D/13188/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/baead0c505bca5f1fa5213e946e22a5a.jpg,Masterpiece
울프,칼 라르손 (Carl Larsson),#사실주의 #클래식 #힐링,"43,000 ",https://www.wart.co.kr/product/%EC%9A%B8%ED%94%84/13187/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/04122a81f74b0a66c8be86d070fdf240.jpg,Masterpiece
요정,칼 라르손 (Carl Larsson),#사실주의 #내츄럴 #힐링,"43,000 ",https://www.wart.co.kr/product/%EC%9A%94%EC%A0%95/13186/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/55a021c6c911bd0a1e029aa660aa8eee.jpg,Masterpiece
왕새우,칼 라르손 (Carl Larsson),#사실주의 #내츄럴 #경쾌,"43,000 ",https://www.wart.co.kr/product/%EC%99%95%EC%83%88%EC%9A%B0/13185/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/e1854236910efa464fe61a128ad135ef.jpg,Masterpiece
